gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
2517513959																										WAG.1270126@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270126	WAG.1270126		Bourgeau (Spain series) E																													1851-05-02																		Europe				Spain					Sierra de Gador, province d'Almeria.														WGS84																																																				Convolvulus lanuginosus Desr. var. villosus Boiss.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus	villosus	var.		Boiss.		ICN			
2517502057																										WAG.1270120@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270120	WAG.1270120		Wilmar C																													1957-06-12																		Europe				Spain					Monserrat.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2517477015																										WAG.1270125@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270125	WAG.1270125		Unknown																																																			Unknown																			WGS84																																																				Convolvulus lanuginosus Desr. var. villosus Boiss.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus	villosus	var.		Boiss.		ICN			
2517471080																										WAG.1270116@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270116	WAG.1270116		Jongkind CCH; Nieuwenhuis CMJ																WAG0046398													2002-04-01								In low shrub vegetation on very rocky soil.										Europe				Spain		Valenciana			lower slopes of the Puig Campana.												38.591833	-0.2095	WGS84																																							Jongkind CCH	2002/04/01												Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2517420777																										U.1216719@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/U.1216719	U.1216719		Martinez M																													1933-05-11																						Unknown					Serreta Negra de Alicante(prov. de Alicante) in fissuris rupium.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2517359697																										U.1216725@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/U.1216725	U.1216725		Stud biol Rheno-Trai in itinere																													1962-06-06																		Europe				Spain					Flora Hispanica, Sierra Nevada, ± 10km voor Lanjaron aan weg Granada-Metril.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2517357693																										U.1216724@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/U.1216724	U.1216724		Hegelmaier CF																													1878-05-15																		Europe				Spain					Hispania, Prov. Alicantina, Alcoy, in declivibus montis Mariola.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2517346401																										WAG.1270121@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270121	WAG.1270121		Boerboom JHA																													1981-08-19																		Europe				Spain					Prov. Zaragoza, Pena Olvés near Munébrega.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2517111675																										U.1216720@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/U.1216720	U.1216720		Stud biol Rheno-Trai in itinere																													1951-04-11																		Europe				Spain					Flora Hispanicum, in garigue 2km N van Xerta bij Tarragona, kalkrijke bodem op ± 100m.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2517035132																										L.3765268@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.3765268	L.3765268		Kasteel J van																													1995-05-11																		Europe				Spain					Ten z. van Alcolea bij zijweg naar Cherin; prov. Almaria; Spanje.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516984990																										U.1216715@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/U.1216715	U.1216715		Sennen F																													1909-04-16																		Europe				Spain					Plantes d'Espagne, Valence et Catalogne: Peniscola et Tarragona, garigues.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516580157																										L.2735368@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735368	L.2735368		Willkomm HM																													1844-05-30																		Europe				Spain					Hispania. Sierra de Chiva in reg mont. v. c. in declivit septentr. m. Cerro la Grana.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516569187																										L.2735358@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735358	L.2735358		Bloembergen S																													1936-06-11																						Unknown					N. Spanje, Catalonië, monstererat bij Manresa.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516561168																										L.2735367@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735367	L.2735367		Gandoger M																													1908-04-01 / 1908-04-30																						Unknown					Flora Africae Boreslis. Maroi Cabe bres Foreas. Arnas (Rhone)- France.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516551145																										L.2735362@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735362	L.2735362		Botanische Excursie Spanje 1982																													1982-04-23																						Unknown					Alicante de Altea la viya Sierra de Beruia.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516548162																										L.2735363@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735363	L.2735363		Botanische Excursie Spanje 1983																													1983-04-13																		Europe				Spain					Spanje, Malaga heuvels Benalmadena.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516543165																										L.2735369@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735369	L.2735369		Gandoger M																													1909-06-01 / 1909-06-30																						Unknown					Maroc, Beh Chaoun.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516532161																										L.2735337@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735337	L.2735337		Westhoff V																L  0282132													1999-04-20																		Europe				Spain		Andalucía																	WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516359196																										L.2735364@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735364	L.2735364		Boom BK																													1936-04-14																						Unknown					Denia (ZO van Valencia), in de maqui tegen de Mongo.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516344187																										L.2735333@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735333	L.2735333		Excursie Spanje 1985																L  0282127													1985-04-10																		Europe				Spain		Andalucía																	WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516273266																										L.2735370@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735370	L.2735370		Herb Persoon																																																			Unknown																			WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2516268263																										L.2735359@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/L.2735359	L.2735359		Andreas CH; Schotsman HD																																															Europe				Spain					Prov. Malaga. omgeving Olias.														WGS84																																																				Convolvulus lanuginosus Desr.							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus		species		Desr.		ICN			
2515935088																										WAG.1270122@BRAHMS										CC0 1.0											Naturalis Biodiversity Center									Naturalis Biodiversity Center				Botany			PreservedSpecimen				https://data.biodiversitydata.nl/naturalis/specimen/WAG.1270122	WAG.1270122		Bourgeau (Spain series) E																													1852-04-23																		Europe				Spain					Collines à Cariagena.														WGS84																																																				Convolvulus lanuginosus Desr. var. lanuginasus							Plantae|Magnoliopsidae|Solanales|Convolvulaceae	Plantae		Magnoliopsidae	Solanales	Convolvulaceae	Convolvulus		lanuginosus	lanuginasus	var.				ICN			
