gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3855082976	6a7575fa-ae03-4ba3-b322-2da15b5033e2	CEFB1D7F-6CA5-4DBF-B89F-269AD574915B	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus		SPECIES	Convolvulus lanuginosus Desr.	Convolvulus lanuginosus Desr.	Desr.	ES	Granada, Sª de Madrid, próximo carretera Illora-Puerto Lópe.	Granada	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862	37.3	-3.84	707.0		800.0	0.0	0.0	0.0	1985-04-11T00:00:00	11	4	1985	7532470	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	17376-1		G. Blanca		CC_BY_NC_4_0	Herbarium University of Granada, Spain	P. Aroza & O. Socorro			2022-07-07T09:23:23.997Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855081381	6a7575fa-ae03-4ba3-b322-2da15b5033e2	A62DE357-D9B1-4D8B-9677-ED57528A466F	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus		SPECIES	Convolvulus lanuginosus Desr.	Convolvulus lanuginosus Desr.	Desr.	ES	Granada, Almegíjar, orientación Sur	Granada	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862	36.9	-3.3	707.0		858.0	0.0	0.0	0.0	2001-04-05T00:00:00	5	4	2001	7532470	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	53493-1		L. Baena		CC_BY_NC_4_0	Herbarium University of Granada, Spain	C. Morales, C. Quesada, L. Baena & M.T. Vizoso			2022-07-07T09:23:23.823Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855080146	6a7575fa-ae03-4ba3-b322-2da15b5033e2	AED73245-77EF-4037-8DD8-E391D41BFB2F	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus	argenteus	VARIETY	Convolvulus lanuginosus var. argenteus Choisy, 1845	Convolvulus lanuginosus Desr. f. argenteus	Desr.	MA	Djebel Targsunt, Bocoia.		PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862					350.0	0.0	0.0	0.0	1929-04-16T00:00:00	16	4	1929	9500970	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	5755-1				CC_BY_NC_4_0	Herbarium University of Granada, Spain	Font Quer			2022-07-07T09:23:23.696Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855078519	6a7575fa-ae03-4ba3-b322-2da15b5033e2	F217938F-B524-442F-A086-677854F316CA	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus	sericeus	VARIETY	Convolvulus lanuginosus var. sericeus (Boiss.) Willk.	Convolvulus lanuginosus Desr. var. sericeus (Boiss.) Willk.	(Boiss.) Willk.	ES	Granada, Almegíjar, próx. Venta del Rellano.	Granada	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862	36.92	-3.28	707.0		1200.0	0.0	0.0	0.0	1978-04-30T00:00:00	30	4	1978	7649738	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	10330-1		G. Blanca		CC_BY_NC_4_0	Herbarium University of Granada, Spain	J. Molero Mesa			2022-07-07T09:23:23.522Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855076637	6a7575fa-ae03-4ba3-b322-2da15b5033e2	9E890FFF-7FA1-443D-9055-ADAB73ECF628	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus		SPECIES	Convolvulus lanuginosus Desr.	Convolvulus lanuginosus Desr.	Desr.	ES	Almería, Níjar, Cortijo de Bornos.	Almería	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862	36.89	-2.02	707.0		300.0	0.0	0.0	0.0	1991-04-30T00:00:00	30	4	1991	7532470	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	25260-1		G. Blanca		CC_BY_NC_4_0	Herbarium University of Granada, Spain	M.J.M. Lirola & L. Gutiérrez			2022-07-07T09:23:23.312Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855076237	6a7575fa-ae03-4ba3-b322-2da15b5033e2	F411ACFC-33A6-41E4-A293-2BA2F3CA2363	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus	argenteus	VARIETY	Convolvulus lanuginosus var. argenteus Choisy, 1845	Convolvulus lanuginosus Desr. var. argenteus	Desr.	ES	Barcelona, Costas de Garraf.	Barcelona	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862							0.0	0.0	1930-04-02T00:00:00	2	4	1930	9500970	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	5765-1				CC_BY_NC_4_0	Herbarium University of Granada, Spain				2022-07-07T09:23:23.265Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855076138	6a7575fa-ae03-4ba3-b322-2da15b5033e2	263C0C50-C284-41C1-A019-A3CAF2515A1D	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus		SPECIES	Convolvulus lanuginosus Desr.	Convolvulus lanuginosus Desr.	Desr.	ES	Almería, Níjar, prox. al Cortijo Vargas.	Almería	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862							0.0	0.0	1991-05-25T00:00:00	25	5	1991	7532470	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	25896-1		G. Blanca		CC_BY_NC_4_0	Herbarium University of Granada, Spain	M.J. Martínez Lirola			2022-07-07T09:23:23.252Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855073236	6a7575fa-ae03-4ba3-b322-2da15b5033e2	28FD6208-09B6-4B24-AB6D-D9B43CE1644F	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus		SPECIES	Convolvulus lanuginosus Desr.	Convolvulus lanuginosus Desr.	Desr.	ES	Barcelona, in pascuis montanis summi montis Montserrat, l. Sant Joan dicto.	Barcelona	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862					1000.0	0.0	0.0	0.0	1935-06-02T00:00:00	2	6	1935	7532470	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	5756-1				CC_BY_NC_4_0	Herbarium University of Granada, Spain	Font Quer & Rothmaler			2022-07-07T09:23:22.871Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855068673	6a7575fa-ae03-4ba3-b322-2da15b5033e2	640B5849-4FDC-46F8-92FF-749AB46F121F	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus	argenteus	VARIETY	Convolvulus lanuginosus var. argenteus Choisy, 1845	Convolvulus lanuginosus Desr. var. argenteus Choisy	Choisy	ES	Málaga, Torremolinos, playas de levante	Málaga	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862							0.0	0.0	1939-05-01T00:00:00		5	1939	9500970	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	5764-1		G. Blanca		CC_BY_NC_4_0	Herbarium University of Granada, Spain	M. Laza			2022-07-07T09:23:22.276Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
3855063850	6a7575fa-ae03-4ba3-b322-2da15b5033e2	F754337A-42E6-41C4-83DD-01E6D414208A	Plantae	Tracheophyta	Magnoliopsida	Solanales	Convolvulaceae	Convolvulus	Convolvulus lanuginosus		SPECIES	Convolvulus lanuginosus Desr.	Convolvulus lanuginosus Desr.	Desr.	ES	Valencia, La Cañada.	Valencia	PRESENT	1	d68c4230-a271-11d8-a9b3-b8a03c50a862							0.0	0.0	1945-04-01T00:00:00		4	1945	7532470	7532470	PRESERVED_SPECIMEN	GDA	GDA-Fanero	5760-1				CC_BY_NC_4_0	Herbarium University of Granada, Spain				2022-07-07T09:23:21.682Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
