id_cita;agenero;aespecie;ainfrank;ainfra;aautabre;genero;especie;infrank;infra;autabre;revisado;pais;provincia;localidad;utm;utm_aproximada;utm_x;utm_y;utm_zona;utm_banda;longitud;latitud;altitud;habitat;ferecol;colector;coleccion;nherbario
id_cita;agenero;aespecie;ainfrank;ainfra;aautabre;genero;especie;infrank;infra;autabre;corregido;pais;provincia;localidad;utm;utm_aproximada;utm_x;utm_y;utm_zona;utm_banda;longitud;latitud;altitud;habitat;ferecol;colector;coleccion;nherbario;origen_datos;registro;
2210253;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH74;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
2210252;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH75;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
2210251;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH76;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
2210256;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH77;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
2210270;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH78;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
2210281;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH79;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
2210280;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH81;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
2387666;Convolvulus;lanuginosus;var.;sericeus;Boiss.;Convolvulus;lanuginosus;var.;sericeus;Boiss.;;España;Alicante;regno Valent., Orihuela;30SXH81;1;;0;;;;;;;;Rouy;;;;;20931;Willkomm, M.;1893;Supplementum Prodromi Florae Hispanicae;_;;_;
2210279;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;Provincia de Alicante;30SXH82;0;;;;;;;;matorrales aclarados, generalmente sobre suelos pedregosos;;;;;Origen dato: Base de datos de la flora de Alicante. L. Serra, X-2009;;16206;Serra Laliga, L.;2007;Estudio crítico de la flora vascular de la provincia de Alicante: aspectos nomenclaturales, biogeográficos y de conservación;Ruizia;;19: 1-1414;
1662929;Convolvulus;lanuginosus;;;;Convolvulus;lanuginosus;;;;;España;Alicante;La Romana, hacia Algueña;30SXH8248;0;;;;;;;400;;;;;;;;5992;Mateo, G. & Figuerola, R.;1985;Sobre la vegetación del orden Asplenietalia petrarchae en las montañas valencianas;Lazaroa;;7: 319-326;
