site;type_bio;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y
Hedypnois rhagadioloides (L.) F.W.Schmidt;;0;0,25;0,333333333;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helianthemum apenninum (L.) Mill. subsp. apenninum;;5,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Iris lutescens Lam. subsp. lutescens;;2,666666667;0;0;0;0;1,7;2,833333333;3,166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Linum strictum L. subsp. strictum;;1;1,666666667;0,7;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0
Muscari comosum (L.) Mill.;;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ononis minutissima L.;;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;1,166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pallenis spinosa (L.) Cass. subsp. spinosa;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
piquant tige rouge rouge 1C;;0;0;1,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantago albicans L.;;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantago lagopus L. var. lagopus;;2,166666667;1,416666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reichardia picroides (L.) Roth;;0,5;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0
Rubia peregrina L. subsp. peregrina;;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ruta angustifolia Pers.;;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,45;0,5;0;0;0;0;0;0;0;0;0
Scorpiurus muricatus subsp. subvillosus (L.) Thell.;;0,333333333;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sedum sediforme (Jacq.) Pau;;0;1,583333333;0;0;0,833333333;1,833333333;0;0;0;0;0;0;2,75;1,333333333;0,25;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Sonchus bulbosus (L.) N.Kilian & Greuter subsp. bulbosus;;0;0,333333333;0,25;0,75;0,333333333;2,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sonchus sp 1a;;0,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sonchus sp 1b;;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Thymus vulgaris L. subsp. vulgaris;;1,5;1,75;2;0;1,666666667;0;0;0;1,333333333;5,166666667;2,116666667;2,033333333;0,5;6,083333333;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Allium roseum L.;;0;0;0;0,25;1;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asparagus acutifolius L.;;0;0;0;0,333333333;0;0;0;0;0;2,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bromus madritensis L.;;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Carduus tenuiflorus Curtis;;0;0;0;0;0;1,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
