gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1936351603	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00545000.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00545000.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00545000.jpg									
1936349661	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00453892.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00453892.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00453892.jpg									
1936348422	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00430953.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00430953.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00430953.jpg									
1936348358	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00430921.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00430921.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00430921.jpg									
1936347941	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00428972.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00428972.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00428972.jpg									
1936347886	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00422782.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00422782.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00422782.jpg									
1936347885	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00430930.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00430930.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00430930.jpg									
1936347530	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00418748.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00418748.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00418748.jpg									
1936347318	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00415756.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00415756.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00415756.jpg									
1936347058	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00417160.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00417160.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00417160.jpg									
1936346938	StillImage	image/jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00418774.jp2&WID=2200&QLT=40&CVT=jpeg	http://161.111.171.57/fcgi-bin/iipsrv.fcgi?FIF=/Catalogo/Fanerogamia/IMGS_web/IMGS_jp2/MA-02-00418774.jp2&WID=2200&QLT=40&CVT=jpeg	MA-02-00418774.jpg									
