"code.pop";"sp.name";"presence";"date";"x";"y";"precision";"source";"cell"
"48";2812210;"Convolvulus lanuginosus";1;"2006";0.312064163806363;40.7276511160044;1000;"anthos";638282
"49";2812213;"Convolvulus lanuginosus";1;"2006";0.347193419722084;40.7374715957825;1000;"anthos";638283
"50";2812220;"Convolvulus lanuginosus";1;"2006";0.375239196417569;40.9272626310518;1000;"anthos";636123
"51";2743532;"Convolvulus lanuginosus";1;"2011";-0.849015886485608;39.8561006270299;1000;"anthos";649075
"52";1888363;"Convolvulus lanuginosus";1;"2005";-0.692386541036191;39.294526387239;1000;"anthos";657716
"53";2248698;"Convolvulus lanuginosus";1;"1999";-0.541972125439333;39.6157718550175;1000;"anthos";653397
"54";2248697;"Convolvulus lanuginosus";1;"1999";-0.470826956230451;39.650278791342;1000;"anthos";653398
"55";1662927;"Convolvulus lanuginosus";1;"1985";-0.448577778442161;38.9831193850634;1000;"anthos";662038
"56";372627623;"Convolvulus lanuginosus Desr.";1;"";-1.585855;39.688496;1;"gbif";651231
"57";232715246;"Convolvulus lanuginosus Desr.";1;"2004-06-12T00:00:00Z";-4.735036;36.98051;10;"gbif";687932
"58";232715203;"Convolvulus lanuginosus Desr.";1;"2005-03-25T00:00:00Z";-1.710814;37.390722;10;"gbif";681470
"59";232715193;"Convolvulus lanuginosus Desr.";1;"2005-05-23T00:00:00Z";-1.941488;37.134628;10;"gbif";685789
"60";232715190;"Convolvulus lanuginosus Desr.";1;"2005-05-24T00:00:00Z";-1.965194;37.32033;10;"gbif";683629
"61";232715115;"Convolvulus lanuginosus Desr.";1;"2006-09-09T00:00:00Z";-4.587215;36.597742;10;"gbif";692253
"62";232715038;"Convolvulus lanuginosus Desr.";1;"2005-04-05T00:00:00Z";-2.637366;37.168577;10;"gbif";683625
"63";232714940;"Convolvulus lanuginosus Desr.";1;"2005-07-05T00:00:00Z";-2.830104;36.836463;10;"gbif";687944
"64";232714928;"Convolvulus lanuginosus Desr.";1;"2005-06-10T00:00:00Z";-2.94106;36.917532;10;"gbif";687943
"65";232714906;"Convolvulus lanuginosus Desr.";1;"2005-06-22T00:00:00Z";-2.629558;37.159755;10;"gbif";685785
"66";232714844;"Convolvulus lanuginosus Desr.";1;"2005-07-07T00:00:00Z";-3.013076;36.953542;10;"gbif";687942
"67";232714811;"Convolvulus lanuginosus Desr.";1;"2007-02-02T00:00:00Z";-4.547246;36.858859;10;"gbif";687933
"68";232714803;"Convolvulus lanuginosus Desr.";1;"2006-06-15T00:00:00Z";-3.336993;36.889002;10;"gbif";687940
"69";232714783;"Convolvulus lanuginosus Desr.";1;"2006-05-11T00:00:00Z";-4.533202;36.739608;10;"gbif";690093
"70";232714750;"Convolvulus lanuginosus Desr.";1;"2007-05-29T00:00:00Z";-2.390694;37.395732;10;"gbif";681466
"71";232714736;"Convolvulus lanuginosus Desr.";1;"2007-05-29T00:00:00Z";-2.324092;37.407313;10;"gbif";681467
"72";232714731;"Convolvulus lanuginosus Desr.";1;"2005-04-20T00:00:00Z";-2.664669;36.975023;10;"gbif";687945
"73";232714688;"Convolvulus lanuginosus Desr.";1;"2000-05-19T00:00:00Z";-3.159009;37.173403;10;"gbif";683622
"74";232714635;"Convolvulus lanuginosus Desr.";1;"1993-05-16T00:00:00Z";-4.339657;37.325569;10;"gbif";683614
"75";232714555;"Convolvulus lanuginosus Desr.";1;"2007-03-28T00:00:00Z";-2.17058;37.523978;10;"gbif";679307
"76";232714551;"Convolvulus lanuginosus Desr.";1;"2007-04-24T00:00:00Z";-2.007336;37.273181;10;"gbif";683628
"77";232714549;"Convolvulus lanuginosus Desr.";1;"2004-06-03T00:00:00Z";-4.893153;36.592952;10;"gbif";692251
"78";232714497;"Convolvulus lanuginosus Desr.";1;"2007-04-10T00:00:00Z";-1.888395;37.368405;10;"gbif";681469
"79";232714456;"Convolvulus lanuginosus Desr.";1;"2004-05-19T00:00:00Z";-2.748106;38.097273;10;"gbif";672824
"80";232714431;"Convolvulus lanuginosus Desr.";1;"1991-11-11T00:00:00Z";-4.338304;37.337058;10;"gbif";681454
"81";232714423;"Convolvulus lanuginosus Desr.";1;"2006-11-20T00:00:00Z";-4.695395;36.613055;10;"gbif";692252
"82";269686;"Convolvulus lanuginosus";1;"16/05/2013";1.243901;41.145634;5;"inat";633968
"83";6020568;"Convolvulus lanuginosus";1;"30/04/2017";0.0014829881;40.0416990447;6;"inat";646921
"84";14860799;"Convolvulus lanuginosus";1;"19/06/2013";-1.5869591385;38.3979972652;10;"inat";668511
"85";27202258;"Convolvulus lanuginosus";1;"18/06/2019";-0.5427922587;39.8859445115;5;"inat";649077
