Code;Code_source;Année;Date;Nom_espèce_source;Nom_RefTax_MNHN;Pays;Region;Ville;Quartier/lieux dit;UTM;UTM1;UTM10;Latitude;Longitude;Altitude;Mode_lecture;Précision;Précision;Type_acquisition ;nom_Observateur;orga_Observateur;Nom_bdd;Auteur;Année_publication;Titre_publication;Nom_revue;confidentialité;nom_fournisseur;organisation;Indigénat_population;Nombre_individus;Surface_patch;abondance_rareté;Description;Corinne;Direct_hab;Ordre;Association;Remarque;Remarque
1357;;1995;27/04/1995;Convolvulus lanuginosus;;ESPAÑA;TERUEL;Albalate del Arzobispo;pto de la Calzada;30TYL14;30TYL1248;;41,05564;-0,47723;;;;1000;communication personnelle;MERCADAL;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
1358;;1974;12/06/1974;Convolvulus lanuginosus;;ESPAÑA;ZARAGOZA;Almunia de Doña Godina (La);Peñascos secos de Mularroya, Río Grío;30TXL28;30TXL2989;;41,44222;-1,4558;;;;1000;communication personnelle;P. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Peñascos secos.;;;;;;
1359;;1994;25/04/1994;Convolvulus lanuginosus;;ESPAÑA;ZARAGOZA;Almunia de Doña Godina (La);Peña María Sobre Mularroya;30TXL39;30TXL3191;;41,4599;-1,43143;;;;1000;communication personnelle;A. MARTINEZ;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Pedregales calizos.;;;;;;
1360;;1985;30/03/1985;Convolvulus lanuginosus;;ESPAÑA;ZARAGOZA;Almunia de Doña Godina (La);Cerro junto al río Grío;30TXL39;30TXL3192;;41,46891;-1,43121;;;;1000;communication personnelle;P. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Peñascos calizos con Ephedra.;;;;;;
1361;;1980;04/06/1980;Convolvulus lanuginosus;;ESPAÑA;ZARAGOZA;Bujaraloz;Hostal Ciervo;30TYL29;30TYL2296;;41,48489;-0,34087;;;;1000;communication personnelle;P. & G. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
1362;;1995;13/05/1995;Convolvulus lanuginosus;;ESPAÑA;ZARAGOZA;Miralbueno;Ctra a Garrapinillos;30TXM71;30TXM7313;;41,64998;-0,92247;;;;1000;communication personnelle;C. CALVO;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
1363;;1987;05/06/1987;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Castillonroy;Monte Santa Ana;31TCG03;31TCG0138;;41,86889;0,60212;;;;1000;communication personnelle;P. & G. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
1364;;1987;06/06/1987;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Castillonroy;Embalse de Santa Ana Solana de Piñana;31TBG93;31TBG9839;;41,87713;0,56566;;;;1000;communication personnelle;P. & G. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
1365;;1987;28/05/1987;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Castillonroy;Junto a la presa de Santa Ana;31TBG93;31TBG9939;;41,87739;0,5777;;;;1000;communication personnelle;G. MONTSERRAT;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Peña rocosa.;;;;;;
1366;;1996;29/09/1996;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Castillonroy;Sobre la presa de Santa Ana, suelo calizo, romeral en Exp S;31TBG94;31TBG9840;;41,88613;0,56532;;;;1000;communication personnelle;J.V. FERRANDEZ;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;;;;;;;
